'head' : '{count:1,id:"oreganized:silver_helmet"}',
'chest' : '{components:{"minecraft:dyed_color":{rgb:10329495}},count:1,id:"minecraft:leather_chestplate"}',
'legs' : '',
'feet' : '{components:{"minecraft:dyed_color":{rgb:10329495}},count:1,id:"minecraft:leather_boots"}',
'offhand' : '',
0 : '{count:1,id:"oreganized:silver_sword"}',
1 : '{components:{"minecraft:ominous_bottle_amplifier":4},count:1,id:"minecraft:ominous_bottle"}',
2 : '',
3 : '',
4 : '',
5 : '',
6 : '',
7 : '',
8 : '{count:3,id:"minecraft:rotten_flesh"}',
9 : '{count:1,id:"minecraft:skeleton_skull"}',
10 : '',
11 : '',
12 : '',
13 : '',
14 : '',
15 : '',
16 : '{count:6,id:"supplementaries:bomb"}',
17 : '{count:5,id:"minecraft:tnt"}',
18 : '',
19 : '',
20 : '',
21 : '',
22 : '',
23 : '',
24 : '',
25 : '{count:1,id:"minecraft:flint_and_steel"}',
26 : '{count:3,id:"oreganized:shrapnel_bomb"}',
27 : '',
28 : '',
29 : '',
30 : '',
31 : '',
32 : '',
33 : '',
34 : '',
35 : '',
'effects' : '',
